NOUN,VERB,ADV,ADJ,CCONJ,EX_M,Q_M,POS,NEG,BOOL_NOUN,BOOL_VERB,BOOL_ADV,BOOL_ADJ,BOOL_CCONJ,LABEL,TEXT
15,7,1,5,2,0,0,6,0,1,1,1,1,1,neutre,"Chères et chers collègues,  Le cours de Langue des signes française (LSF) du DU Linguistique clinique est ouvert aux collègues de Modyco. Il s'agit d'un cours d'introduction permettant d'acquérir les bases de la LSF.  Ce cours, donné par Laezel aura lieu le jeudi 13h30-15h30 en C306 (bâtiment Zazzo) et commencera demain.  Merci de m'en informer si vous souhaitez participer.  Bonne journée à tous,"
7,4,3,1,2,0,0,2,1,1,1,1,1,1,neutre,"Bonsoir, ce cours de LSF est également accessible aux étudiants de TAL, M1 ou M2. A noter que le laboratoire de Modyco a des projets financés concernant la LSF et que certaines taches impliquent du TAL. Nous aurons donc des stages à proposer dès le M1. Bien à vous"
6,3,0,3,0,1,0,4,0,1,1,0,1,0,neutre,"Bonjour !  J’aimerais prendre des heures de conduite pour cette semaine. Je suis libre tout les jours. Si c’est possible j’aimerais prendre 2 heures.  En attendant votre réponse,"
2,1,0,1,0,0,0,1,0,1,1,0,1,0,neutre,"Bonjour,   Je souhaiterais postuler pour un logement dans la résidence universitaire Laezel  Cordialement,"
13,7,0,2,2,0,1,4,1,1,1,0,1,1,neutre,"Bonjour,  Je rentre en M2 Traitement Automatique des Langues et je suis en train de m'inscrire sur Studea pour mon alternance. L'entreprise qui souhaite m'embaucher a remarqué qu'ils avaient fait des erreurs dans la composition du dossier et aimerait pouvoir modifier les informations qu'ils ont rentré. Est-ce que c'est possible pour vous de ré-ouvrir la candidature ?  Je vous remercie d'avance pour votre aide,"
16,8,7,3,2,1,0,6,0,1,1,1,1,1,joie,"Bonjour Juliette,  Je suis évidemment toujours motivée pour travailler avec vous ! Visiter les locaux et rencontrer l’équipe m’a beaucoup plu et je serai absolument ravie de travailler avec vous.  J’ai eu une réponse par rapport au rythme prévisionnel de l’alternance, je te l’envoie en pièce jointe avec également une brochure qu’on m’a demandé de vous partager.  Pour la suite, je te donne déjà le mail du responsable alternance à l’Université Paris Nanterre, Laezel: jppaquet@parisnanterre.fr   Je te souhaite un très bon week-end,"
1,3,3,1,0,1,0,2,0,1,1,1,1,0,joie,"Génial, merci beaucoup ! Voici le document signé. Je te dis à demain alors,  Cordialement,"
2,3,0,3,1,1,0,2,0,1,1,0,1,1,joie,"Laezel  Génial ! Je l’ai signé, dis-moi si tout est bon ou si tu as besoin d’autre chose."
45,26,24,8,10,0,0,6,8,1,1,1,1,1,tristesse,"Bonjour monsieur,  Je sais que vous avez des créneaux pour pouvoir répondre aux questions mais malheureusement j'ai cours de 9h30 à 16h30 du lundi au mercredi et je suis en entreprise le jeudi et le vendredi.  Je vous lance un peu une bouteille à la mer en attendant votre cours du mercredi.  Pour être rapide, j'ai des problèmes avec mes ventilateurs qui s'activent de manière très bruyante en plein milieu du cours et j'ai voulu régler ça hier soir mais maintenant Linux ne boot plus. Effectivement, j'ai fait une erreur que je referai peut-être plus tard, celle d'entrer une commande sans comprendre à 100% son effet. Et j'avais aussi modifié un fichier mais via la root du recovery mod du grub j'ai pu effacer mes modifications.  Voici la commande en question : `sudo systemctl restart display-manager`  Voilà, le problème c'est qu'en revenant à zéro, Linux ne boot toujours pas. J'ai donc désinstallé tous mes drivers et j'essaye d'en réinstaller un plus ancien, probablement compatible avec Nvidia donc.  Je voulais vous exposer ma situation avant votre cours, je m'active demain et après-demain pour essayer de régler le problème de mon côté. Si je n'arrive à rien et que vous n'avez pas de solution à m'apporter, je referai une installation Linux.  En tout cas je vous remercie d'avance,  Je vous souhaite une très bonne journée, Cordialement,"
28,33,21,9,8,0,0,9,4,1,1,1,1,1,tristesse,"Bonjour,  En l'état actuel de la situation, j'ai uniquement Linux d'installé sur ma machine, donc le grub ne se lance pas. Je sais que Linux se lance car j'ai le logo Kubuntu qui s'affiche avant de rester bloqué indéfiniment sur un écran noir.  J'ai réussi à forcer l'ouverture du grub avant que Linux ne se lance en appuyant sur shift et après ""options avancées pour Kubuntu"" > ""Recovery mod"" > ""root"" j'ai accès au terminal depuis la racine.  J'ai ensuite pu enlever les modifications que j'avais effectué sur des fichiers et qui étaient probablement la cause de tout ça, mais en redémarrant mon pc ça faisait encore un black screen.  J'en ai conclu que c'était Nvidia qui posait problème et j'ai essayé de supprimer les drivers. J'ai fait les commandes ""nvidia-smi"" pour savoir si j'avais des drivers installés et ""sudo apt-get remove --purge '^nvidia-.*'"" pour être sûre de n'en oublier aucun. Maintenant, en faisant la commande ""nvidia-smi"" il est indiqué que je n'ai plus de drivers installés mais je ne sais pas si c'est réellement actif.  Voilà où j'en suis pour aujourd'hui, je vais essayer d'installer un nouveau driver nvidia qui sera peut-être plus compatible pour gérer mes ventilateurs.  Je ne sais pas si vous avez une idée de ce qui aurait pu causer tous ces dégâts, Je vous remercie pour votre aide,  Cordialement,"
