NOUN,VERB,ADV,ADJ,CCONJ,EX_M,Q_M,POS,NEG,BOOL_NOUN,BOOL_VERB,BOOL_ADV,BOOL_ADJ,BOOL_CCONJ,LABEL,TEXT,AI
15,7,1,5,2,0,0,6,0,1,1,1,1,1,neutre," Chères et chers collègues , Le cours de Langue de les signes française ( Polopopo ) de le Polopopo Linguistique clinique est ouvert à les collègues de Polopopo . Il s' agit d' un cours d' introduction permettant d' acquérir les bases de la Polopopo . Ce cours , donné par Polopopo Polopopo , aura lieu le jeudi 13h30-15 h 30 en Polopopo ( bâtiment Polopopo ) et commencera demain . Merci de m' en informer si vous souhaitez participer . Bonne journée à tous ,",0
7,4,3,1,2,0,0,2,1,1,1,1,1,1,neutre," Bonsoir , ce cours de Polopopo est également accessible à les étudiants de Polopopo , M1 ou M2 . A noter que le laboratoire de Polopopo a des projets financés concernant la Polopopo et que certaines taches impliquent de le Polopopo . Nous aurons donc des stages à proposer dès le M1 . Bien à vous",0
6,3,0,3,0,1,0,4,0,1,1,0,1,0,neutre," Bonjour ! J’ aimerais prendre des heures de conduite pour cette semaine . Je suis libre tout les jours . Si c’ est possible j’ aimerais prendre 2 heures . En attendant votre réponse ,",0
2,1,0,1,0,0,0,1,0,1,1,0,1,0,neutre," Bonjour , Je souhaiterais postuler pour un logement dans la résidence universitaire Polopopo Polopopo . Cordialement ,",0
13,7,0,2,2,0,1,4,1,1,1,0,1,1,neutre," Bonjour , Je rentre en M2 Traitement Automatique de les Langues et je suis en train de m' inscrire sur Polopopo pour mon alternance . L' entreprise qui souhaite m' embaucher a remarqué qu' ils avaient fait des erreurs dans la composition de le dossier et aimerait pouvoir modifier les informations qu' ils ont rentré . Est -ce que c' est possible pour vous de ré-ouvrir la candidature ? Je vous remercie d' avance pour votre aide ,",0
16,8,7,3,2,1,0,6,0,1,1,1,1,1,joie," Bonjour Polopopo , Je suis évidemment toujours motivée pour travailler avec vous ! Visiter les locaux et rencontrer l’ équipe m’ a beaucoup plu et je serai absolument ravie de travailler avec vous . J’ ai eu une réponse par rapport à le rythme prévisionnel de l’ alternance , je te l’ envoie en pièce jointe avec également une brochure qu’ on m’ a demandé de vous partager . Pour la suite , je te donne déjà le mail de le responsable alternance à l’ Université Polopopo Polopopo , Monsieur Polopopo Polopopo : jppaquet@parisnanterre.fr Je te souhaite un très bon week-end ,",0
1,3,3,1,0,1,0,2,0,1,1,1,1,0,joie," Génial , merci beaucoup ! Voici le document signé . Je te dis à demain alors , Cordialement ,",0
2,3,0,3,1,1,0,2,0,1,1,0,1,1,joie," Polopopo , Génial ! Je l’ ai signé , dis -moi si tout est bon ou si tu as besoin d’ autre chose .",0
45,26,24,8,10,0,0,6,8,1,1,1,1,1,tristesse," Bonjour monsieur , Je sais que vous avez des créneaux pour pouvoir répondre à les questions mais malheureusement j' ai cours de 9 h 30 à 16 h 30 de le lundi à le mercredi et je suis en entreprise le jeudi et le vendredi . Je vous lance un peu une bouteille à la mer en attendant votre cours de le mercredi . Pour être rapide , j' ai des problèmes avec mes ventilateurs qui s' activent de manière très bruyante en plein milieu de le cours et j' ai voulu régler ça hier soir mais maintenant Polopopo ne boot plus . Effectivement , j' ai fait une erreur que je referai peut-être plus tard , celle d' entrer une commande sans comprendre à 100 % son effet . Et j' avais aussi modifié un fichier mais via la root de le recovery mod de le grub j' ai pu effacer mes modifications . Voici la commande en question : `sudo systemctl restart display-manager` Voilà , le problème c' est qu' en revenant à zéro , Polopopo ne boot toujours pas . J' ai donc désinstallé tous mes drivers et j' essaye d' en réinstaller un plus ancien , probablement compatible avec Polopopo donc . Je voulais vous exposer ma situation avant votre cours , je m' active demain et après-demain pour essayer de régler le problème de mon côté . Si je n' arrive à rien et que vous n' avez pas de solution à m' apporter , je referai une installation Polopopo . En tout cas je vous remercie d' avance , Je vous souhaite une très bonne journée , Cordialement ,",0
28,33,21,9,8,0,0,9,4,1,1,1,1,1,tristesse," Bonjour , En l' état actuel de la situation , j' ai uniquement Polopopo d' installé sur ma machine , donc le grub ne se lance pas . Je sais que Polopopo se lance car j' ai le logo Polopopo qui s' affiche avant de rester bloqué indéfiniment sur un écran noir . J' ai réussi à forcer l' ouverture de le grub avant que Polopopo ne se lance en appuyant sur shift et après "" options avancées pour Polopopo "" > "" Recovery mod "" > "" root "" j' ai accès à le terminal depuis la racine . J' ai ensuite pu enlever les modifications que j' avais effectué sur des fichiers et qui étaient probablement la cause de tout ça , mais en redémarrant mon pc ça faisait encore un black screen . J' en ai conclu que c' était Polopopo qui posait problème et j' ai essayé de supprimer les drivers . J' ai fait les commandes "" nvidia-smi "" pour savoir si j' avais des drivers installés et "" sudo apt-get remove --purge ' ^nvidia -. *' "" pour être sûre de n' en oublier aucun . Maintenant , en faisant la commande "" nvidia-smi "" il est indiqué que je n' ai plus de drivers installés mais je ne sais pas si c' est réellement actif . Voilà où j' en suis pour aujourd'hui , je vais essayer d' installer un nouveau driver nvidia qui sera peut-être plus compatible pour gérer mes ventilateurs . Je ne sais pas si vous avez une idée de ce qui aurait pu causer tous ces dégâts , Je vous remercie pour votre aide , Cordialement ,",0
12,5,5,2,2,1,0,5,3,1,1,1,1,1,tristesse," Polopopo , J’ ai demandé à Monsieur Polopopo et malheureusement ils préfèrent qu’ on commence le 16 septembre .. je suis vraiment désolée pour la confusion . Pour le reste : - ma date de naissance : 13/04/2002 - à priori ce serait 7 900 € ( page 5 ) - 1 an , de le 16/09 / 24 à le 15/09 / 25 - et je confirme que c’ est bien ça ! Je te souhaite une bonne fin de semaine , Bien cordialement ,",0
